update,mean_rollout_reward,eval_reward,loss_policy,loss_value,loss_entropy
147,-1.2087195985218222,nan,-0.09566371142864227,37.90534591674805,-0.28485119342803955
148,-1.2274247585118114,nan,-0.007163504138588905,38.605628967285156,-0.2972954511642456
149,-1.2575422312863174,nan,0.09874439239501953,24.46108055114746,-0.3139317035675049
150,-1.1346372618164984,-357.2597849924498,-0.0976744294166565,46.60671615600586,-0.3285245895385742
151,-1.2404014976658657,nan,-0.07481129467487335,30.70102882385254,-0.35011768341064453
152,-1.2457308807242848,nan,-0.07602845132350922,24.678783416748047,-0.3749576807022095
153,-1.2295201281795256,nan,-0.009739052504301071,30.66018295288086,-0.3946176767349243
154,-1.1667042424507226,nan,0.06429390609264374,29.360836029052734,-0.41112303733825684
155,-1.1861868252763104,nan,-0.10965153574943542,36.28116226196289,-0.43210434913635254
156,-1.1688891318432735,nan,-0.06661964952945709,23.78719711303711,-0.45504558086395264
157,-1.1716613900288841,nan,0.05475519597530365,28.355735778808594,-0.4784111976623535
158,-1.0804529788750192,nan,-0.03110060654580593,34.39436340332031,-0.49656474590301514
159,-1.1091557342096166,nan,-0.006656330078840256,27.332786560058594,-0.5102899074554443
160,-1.0427270499355306,-286.9656827865815,-0.05228786915540695,36.809959411621094,-0.5211645364761353
161,-0.9908651143569727,nan,-0.02203565463423729,30.928037643432617,-0.530942440032959
162,-1.036396984998284,nan,-0.045344479382038116,34.14239501953125,-0.541221022605896
163,-1.082857953474809,nan,-0.05930447578430176,32.539588928222656,-0.555701732635498
164,-0.9918588293956275,nan,0.04785469174385071,27.767982482910156,-0.5702717304229736
165,-1.0472634874068503,nan,0.01207486167550087,20.129348754882812,-0.5873361825942993
166,-0.941769975971254,nan,0.08155389130115509,28.84444808959961,-0.6028435230255127
167,-1.0559846832379747,nan,0.005575807765126228,37.00267028808594,-0.6291580200195312
168,-0.9337393176334823,nan,-0.0725117102265358,30.44572639465332,-0.6472070217132568
169,-0.9135177490347217,nan,-0.05650857836008072,33.268619537353516,-0.6605350971221924
170,-0.9215607322247334,-253.15980864645178,-0.020151952281594276,28.625822067260742,-0.674723744392395
171,-0.8664719178734338,nan,-0.07134777307510376,34.955631256103516,-0.6880972385406494
172,-0.932739556339624,nan,-0.007971901446580887,23.57550811767578,-0.7030484676361084
173,-0.9282490915161694,nan,0.012790899723768234,22.531219482421875,-0.7190161943435669
174,-0.9406469916975838,nan,0.10623583197593689,27.464725494384766,-0.7424801588058472
175,-0.9381580609410841,nan,-0.004113251343369484,29.29952049255371,-0.7667961120605469
176,-0.8449131710374395,nan,0.044032033532857895,25.65073013305664,-0.785029411315918
177,-0.8937373647415112,nan,0.05293367803096771,18.26799774169922,-0.8038045167922974
178,-0.8019434800509062,nan,-0.09846075624227524,14.452291488647461,-0.8224349021911621
179,-0.8304968996292657,nan,-0.020315971225500107,7.7897443771362305,-0.8475850820541382
180,-0.8010905776569114,-71.37426923426642,0.008383974432945251,7.720101356506348,-0.8740942478179932
181,-0.8413358176054347,nan,0.021266261115670204,8.251585006713867,-0.9046540260314941
182,-0.8368212140830565,nan,-0.006056981161236763,9.182153701782227,-0.9374192953109741
183,-0.7730043053196629,nan,-0.0888451412320137,9.184267044067383,-0.9732654094696045
184,-0.6935400851246978,nan,-0.01967620849609375,5.893603801727295,-1.0086400508880615
185,-0.7046600945334163,nan,0.09796538949012756,8.403773307800293,-1.0368744134902954
186,-0.6757889918495452,nan,0.05598856508731842,7.417539596557617,-1.0614750385284424
187,-0.6454566370720956,nan,0.0519711896777153,6.277843475341797,-1.0862776041030884
188,-0.6268907961324891,nan,-0.034630969166755676,5.703197956085205,-1.1163561344146729
189,-0.6634147976281933,nan,0.003934280946850777,4.640098571777344,-1.1460963487625122
190,-0.5949423178002915,19.512363910620877,0.10458662360906601,4.662296772003174,-1.16892409324646
191,-0.6334586894796977,nan,0.15166087448596954,7.75659704208374,-1.1956688165664673
192,-0.5688752455465005,nan,-0.1100292056798935,3.5678951740264893,-1.2194793224334717
193,-0.5683943206587269,nan,0.09275034070014954,4.53434944152832,-1.2481796741485596
194,-0.5255421454764296,nan,0.11246229708194733,2.9063405990600586,-1.272019863128662
195,-0.4967709186320816,nan,0.04023498669266701,4.318645000457764,-1.2909350395202637
196,-0.4443365790502265,nan,0.07604582607746124,4.957694053649902,-1.3040614128112793
197,-0.38452311977647574,nan,0.07740354537963867,4.232866287231445,-1.3106415271759033
198,-0.3927613181437835,nan,0.09379807859659195,3.5075695514678955,-1.3160121440887451
199,-0.47613416614248655,nan,0.0009326785802841187,5.481598377227783,-1.3197176456451416
200,-0.7158552700013434,-220.34159131840252,-0.05342164635658264,9.992743492126465,-1.320077896118164
201,-0.5572457634427674,nan,-0.00592007115483284,13.721957206726074,-1.3206150531768799
202,-0.4094426707931187,nan,0.07077717036008835,7.514917373657227,-1.3267040252685547
203,-0.46828546663329196,nan,0.036586761474609375,6.137332916259766,-1.3384747505187988
204,-0.44282750037997604,nan,0.02558625303208828,5.2078728675842285,-1.3529884815216064
205,-0.40402978654001637,nan,0.1350281834602356,5.798036575317383,-1.3673489093780518
206,-0.4221976594023548,nan,-0.014319557696580887,5.451213359832764,-1.3836512565612793
207,-0.41457200971936525,nan,-0.061250388622283936,3.5228686332702637,-1.3974237442016602
208,-0.38996844214507337,nan,0.014002375304698944,6.1926679611206055,-1.4178054332733154
209,-0.3580999011708024,nan,0.03957030549645424,2.9438695907592773,-1.4358694553375244
210,-0.31013029972626216,30.94023219024508,0.06286691874265671,3.4458749294281006,-1.4597327709197998
211,-0.28308981598840766,nan,0.03377370908856392,2.601210117340088,-1.4791133403778076
212,-0.28929004142592013,nan,-0.027169818058609962,2.6811156272888184,-1.4957079887390137
213,-0.29025966934435105,nan,0.045231424272060394,2.319453239440918,-1.5098097324371338
214,-0.3483354212326314,nan,0.07750038802623749,3.671386480331421,-1.5302457809448242
