time_s,q_l_rad,q_r_rad,qd_l_rad_s,qd_r_rad_s,q_des_l_rad,q_des_r_rad,applied_torque_l_nm,applied_torque_r_nm
3.0901434421539307,-0.24560491740703583,1.0345745086669922,1.228514552116394,2.7444071769714355,-0.06671754356972351,-0.6102616484310059,-0.019327923005640978,0.8318884605344927
3.1001482009887695,-0.23222532868385315,1.0618023872375488,1.311980128288269,2.6186070442199707,-0.05519826815987836,-0.6111345654846804,-0.015602889796460542,0.8366473363946947
3.110090970993042,-0.21854747831821442,1.0880076885223389,1.3451364040374756,2.4701082706451416,-0.04389677394031416,-0.6116511356470925,-0.01304755769632447,0.8409297424786988
3.1201627254486084,-0.20457135140895844,1.1125510931015015,1.412751317024231,2.3389952182769775,-0.0326059119961185,-0.6117988507918871,-0.011172740243610858,0.844607752880665
3.1301496028900146,-0.19076566398143768,1.1356457471847534,1.3747730255126953,2.2575409412384033,-0.021549298220131245,-0.6116955129150683,-0.009401598188490855,0.8480341931906646
3.140150785446167,-0.17644864320755005,1.1569082736968994,1.4235152006149292,2.0191075801849365,-0.01069345408285352,-0.6112038093700441,-0.00762263130049328,0.8497978463988591
3.1501598358154297,-0.164389967918396,1.173270583152771,1.4949290752410889,1.948313593864441,5.006986160078589e-05,-0.6105484995253032,-0.004841838348457263,0.8491645703137063
3.1601462364196777,-0.14947640895843506,1.1922321319580078,1.4062373638153076,1.78365957736969,0.010481626256426539,-0.6095066356621431,-0.001539606156324167,0.8460652145483322
3.1701502799987793,-0.13473330438137054,1.2097874879837036,1.4043587446212769,1.635994553565979,0.020840304175761864,-0.6083709707363844,0.0026030383558003664,0.8421273501532881
3.180157423019409,-0.12045889347791672,1.2250844240188599,1.3721048831939697,1.4865971803665161,0.030831469066964434,-0.6068617770524601,0.007059059366966507,0.8362708693667814
3.190169095993042,-0.10588622838258743,1.2398276329040527,1.437955617904663,1.3947815895080566,0.04077453353915487,-0.6053132526275403,0.013544710029897537,0.8299947996536466
3.200145959854126,-0.09139877557754517,1.252184510231018,1.4281920194625854,1.2103317975997925,0.0502220982095219,-0.6034315957995522,0.020720757117975795,0.8220734537008683
3.2101590633392334,-0.07729481905698776,1.26398766040802,1.3244636058807373,1.1921731233596802,0.05969504956735955,-0.6015385268167561,0.030473798739431634,0.8139119463226618
3.2201480865478516,-0.06336129456758499,1.2735322713851929,1.2916176319122314,0.8290489315986633,0.06859321149142372,-0.5993670756621354,0.040749029705717955,0.8043990401108791
3.230090618133545,-0.05002431944012642,1.2809038162231445,1.3032441139221191,0.7162512540817261,0.07743827386554587,-0.5972006616949519,0.053506924823628975,0.7947565442161607
3.240150213241577,-0.03647429123520851,1.287764072418213,1.3284249305725098,0.6644527912139893,0.08583654668500006,-0.5948277403139038,0.06687827224234967,0.784123663210893
3.25015926361084,-0.026162635535001755,1.2920676469802856,1.2891578674316406,0.4822391867637634,0.0941155510747549,-0.5924427335905534,0.08223525571733772,0.7733399259885503
3.260148525238037,-0.012655215337872505,1.2956042289733887,1.2991513013839722,0.2973916530609131,0.10185379560916506,-0.5899714934919134,0.09765181622586032,0.7621311568199375
3.2701587677001953,0.0005965421441942453,1.297223448753357,1.2917031049728394,0.16611984372138977,0.10945938638170168,-0.5874702895385845,0.11432702614813652,0.7507416562518274
3.2801504135131836,0.01359263900667429,1.2977348566055298,1.2388161420822144,0.009117375127971172,0.11655546757891515,-0.584953451464545,0.13051174091121895,0.7392745707516571
3.2901546955108643,0.02654612623155117,1.2972661256790161,1.290558934211731,-0.06661525368690491,0.12342984719241863,-0.5824247991541919,0.1469045103811176,0.7278765745162189
3.3001596927642822,0.03928656131029129,1.2960304021835327,1.2293184995651245,-0.18597906827926636,0.1298477056782674,-0.579929584261978,0.16224999647869082,0.7173289526690833
3.310150146484375,0.05143045261502266,1.2940278053283691,1.1735548973083496,-0.16675058007240295,0.1359341120185401,-0.5774623021881036,0.17668115618753452,0.7079497468124505
3.320150375366211,0.06374479085206985,1.2933886051177979,1.2352988719940186,-0.11096639186143875,0.14161957659278082,-0.5750632019718116,0.1896295950929528,0.7000279471179134
3.3301467895507812,0.07580346614122391,1.2920676469802856,1.1846740245819092,-0.16312989592552185,0.14687779117336852,-0.5727392118836473,0.20072695694473025,0.6936680221730267
3.340153455734253,0.08837345987558365,1.290618896484375,1.200719952583313,-0.05821198225021362,0.1517940761331841,-0.570503658022475,0.21015915955323378,0.6889565393190205
3.35014271736145,0.09872772544622421,1.2898945808410645,1.2442539930343628,-0.10405335575342178,0.15616449516802622,-0.568412793693897,0.21700412614113299,0.6861196637127024
3.360142230987549,0.1103602945804596,1.2882328033447266,1.089746356010437,-0.11095961928367615,0.16026330103643738,-0.5664135311019755,0.2223284283717129,0.6848653964521334
3.3701486587524414,0.12041628360748291,1.2855908870697021,0.8927962779998779,-0.39085686206817627,0.16370256761282365,-0.5646379843352641,0.22458908718850018,0.685690042032135
3.3801538944244385,0.12936443090438843,1.2826508283615112,0.8569583296775818,-0.2670089900493622,0.16694519088496695,-0.5629429606896287,0.2257623586755645,0.6877742431305945
3.390143871307373,0.13831256330013275,1.2799237966537476,0.8873088955879211,-0.36201170086860657,0.16938910450335026,-0.5615754652128158,0.22357705258245122,0.6920284291596657
