#{"t_start": 1782413128.1205232, "env_id": "nair_gait_h0404MimoExo-v0"}
r,l,t
320.983024,1000,2307.581936
327.56979,1000,2312.570693
392.389474,1000,2317.638121
356.115661,1000,2321.941612
332.104783,1000,2326.211533
321.827668,1000,2330.579779
388.221472,1000,2335.00236
305.135325,1000,2339.30274
333.579767,1000,2343.946918
397.355324,1000,2348.242112
396.029355,1000,2352.514626
426.249542,1000,2357.461147
406.683738,1000,2362.54582
343.264056,1000,2367.410708
360.75679,1000,2372.258067
351.112423,1000,2376.943853
481.910162,1000,2381.214103
428.892736,1000,2385.639015
453.612872,1000,2390.570035
469.663385,1000,2395.618327
504.221497,1000,2400.636137
429.772232,1000,2405.677883
459.063452,1000,2410.688213
415.090006,1000,2415.702747
486.547018,1000,2420.657595
424.807172,1000,2425.633732
446.544624,1000,2430.697202
475.520525,1000,2435.834026
503.214662,1000,2440.873569
532.969153,1000,2445.850127
524.241467,1000,2450.820881
511.013985,1000,2455.818845
499.850275,1000,2460.548389
513.607536,1000,2464.802173
528.094857,1000,2469.0738
486.920787,1000,2473.357266
505.2674,1000,2477.767529
522.531518,1000,2482.174349
485.561101,1000,2486.481166
509.226648,1000,2491.159106
519.366073,1000,2496.10509
525.148683,1000,2500.343278
480.391784,1000,2504.634508
475.619576,1000,2508.952645
524.459802,1000,2513.214185
513.344512,1000,2517.495566
518.964859,1000,2521.781439
536.248603,1000,2526.413954
485.075337,1000,2530.82699
504.015552,1000,2535.107628
523.292599,1000,2539.38288
504.568032,1000,2543.641885
513.366545,1000,2548.065351
536.646649,1000,2552.333636
532.319532,1000,2556.615177
532.071494,1000,2560.919972
542.7132,1000,2565.280876
534.820926,1000,2569.567648
551.326888,1000,2573.875657
499.174465,1000,2578.182068
511.842908,1000,2582.488911
530.15331,1000,2586.857413
510.396346,1000,2591.36662
546.232292,1000,2595.908172
522.275969,1000,2600.198481
544.044368,1000,2604.511139
544.019813,1000,2608.788323
556.746635,1000,2613.078311
552.408313,1000,2617.473286
543.140211,1000,2621.943543
563.800663,1000,2626.325055
555.238798,1000,2630.610767
545.45071,1000,2635.115293
534.660111,1000,2639.396342
564.508089,1000,2643.692832
549.696997,1000,2648.019724
559.353018,1000,2652.486157
551.404265,1000,2657.49944
531.28322,1000,2662.498265
541.839227,1000,2667.583748
537.081902,1000,2672.647666
541.148945,1000,2677.72034
516.101968,1000,2682.721314
530.789585,1000,2687.762918
547.062993,1000,2692.757481
554.023056,1000,2697.825385
557.963377,1000,2702.785038
580.944873,1000,2707.825703
591.013317,1000,2712.884146
582.185638,1000,2717.892135
564.0849,1000,2722.902853
